City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Min Temp,Max Temp,Wind Speed
Luwuk,16,ID,1603459267,78,-0.95,122.79,78.93,78.93,78.93,0.47
Vaini,75,TO,1603459267,88,-21.2,-175.2,71.6,71.6,71.6,8.05
Avarua,100,CK,1603459268,88,-21.21,-159.78,71.6,71.6,71.6,10.29
Busselton,0,AU,1603459269,47,-33.65,115.33,55.18,54.0,55.99,13.91
Mar del Plata,90,AR,1603458650,100,-38.0,-57.56,56.05,55.0,57.2,3.36
Puerto Ayora,100,EC,1603459271,94,-0.74,-90.35,68.0,68.0,68.0,1.01
Hobart,75,AU,1603459108,81,-42.88,147.33,53.22,51.01,54.0,1.12
Arraial do Cabo,40,BR,1603458998,57,-22.97,-42.03,77.0,77.0,77.0,10.29
Hermanus,21,ZA,1603459272,69,-34.42,19.23,75.99,75.99,75.99,5.01
Bredasdorp,93,ZA,1603459273,64,-34.53,20.04,75.2,75.2,75.2,10.29
Mahébourg,20,MU,1603459275,57,-20.41,57.7,78.8,78.8,78.8,10.29
Ushuaia,40,AR,1603459276,70,-54.8,-68.3,42.8,42.8,42.8,11.41
Port Alfred,47,ZA,1603459278,69,-33.59,26.89,77.45,77.45,77.45,17.52
Rikitea,41,PF,1603459279,79,-23.12,-134.97,74.01,74.01,74.01,3.31
Tautira,75,PF,1603459279,88,-17.73,-149.15,73.2,73.0,73.4,3.36
Carnarvon,0,AU,1603459281,83,-24.87,113.63,71.6,71.6,71.6,14.99
New Norfolk,100,AU,1603459282,79,-42.78,147.06,52.5,51.01,54.0,1.03
Port Macquarie,97,AU,1603459283,87,-31.43,152.92,66.99,66.99,66.99,15.64
Punta Arenas,75,CL,1603458815,81,-53.15,-70.92,44.29,44.01,44.6,4.7
Cidreira,100,BR,1603459108,81,-30.18,-50.21,70.21,70.21,70.21,13.13
Saint-Philippe,90,RE,1603459285,69,-21.36,55.77,72.48,64.99,77.0,16.11
Pangai,75,TO,1603459288,83,-19.8,-174.35,75.2,75.2,75.2,12.75
Bukama,93,CD,1603459289,30,-9.2,25.85,98.53,98.53,98.53,2.08
Camocim,29,BR,1603459289,50,-2.9,-40.84,89.24,89.24,89.24,13.49
Luziânia,75,BR,1603459012,83,-16.25,-47.95,72.36,71.6,73.0,9.17
Saint-Pierre,90,RE,1603459291,69,-21.34,55.48,72.66,64.99,77.0,16.11
Souillac,20,MU,1603459292,57,-20.52,57.52,78.8,78.8,78.8,10.29
Atuona,1,PF,1603459293,77,-9.8,-139.03,77.49,77.49,77.49,15.48
Cape Town,0,ZA,1603459291,60,-33.93,18.42,72.16,70.0,73.4,9.17
Castro,8,BR,1603459295,66,-24.79,-50.01,69.8,69.8,69.8,10.69
Tuatapere,59,NZ,1603459295,79,-46.13,167.68,54.0,54.0,54.0,7.0
Byron Bay,100,AU,1603459201,83,-28.65,153.62,68.4,66.2,69.8,11.41
Honiara,20,SB,1603459297,94,-9.43,159.95,75.2,75.2,75.2,2.24
Bandrele,0,YT,1603459297,70,-12.91,45.19,84.2,84.2,84.2,8.05
Yulara,0,AU,1603459211,43,-25.24,130.99,69.8,69.8,69.8,12.75
Namatanai,0,PG,1603459300,70,-3.67,152.43,80.31,80.31,80.31,4.61
Mataura,99,NZ,1603459301,79,-46.19,168.86,54.0,54.0,54.0,7.0
Grand Gaube,1,MU,1603459301,55,-20.01,57.66,78.01,78.01,78.01,10.0
Chui,100,UY,1603459302,91,-33.7,-53.46,65.64,65.64,65.64,7.56
Hervey Bay,100,AU,1603459269,78,-25.3,152.85,73.4,71.6,73.99,9.17
Uberaba,87,BR,1603459098,74,-19.75,-47.93,73.49,73.49,73.49,15.99
Lorengau,45,PG,1603459303,69,-2.02,147.27,82.72,82.72,82.72,4.5
Lüderitz,4,NA,1603459303,67,-26.65,15.16,65.79,65.79,65.79,7.45
Belmonte,90,BR,1603459304,88,-15.86,-38.88,73.4,73.4,73.4,2.24
Bluff,100,NZ,1603459305,79,-46.6,168.33,54.0,54.0,54.0,7.0
Bengkulu,100,ID,1603459306,82,-3.8,102.27,79.88,79.88,79.88,3.11
Kismayo,5,SO,1603459307,72,-0.36,42.55,83.68,83.68,83.68,19.19
Buala,39,SB,1603459308,80,-8.14,159.59,80.29,80.29,80.29,5.35
Port Hedland,0,AU,1603459308,83,-20.32,118.57,75.2,75.2,75.2,10.29
Hithadhoo,0,MV,1603459309,75,-0.6,73.08,83.66,83.66,83.66,13.56
Richards Bay,0,ZA,1603459309,60,-28.78,32.04,80.26,80.26,80.26,16.28
Faanui,100,PF,1603459309,73,-16.48,-151.75,78.55,78.55,78.55,7.31
Te Anau,98,NZ,1603459309,82,-45.42,167.72,45.32,45.32,45.32,3.47
Padang,100,ID,1603459310,79,-0.95,100.35,81.07,81.07,81.07,2.26
Tocopilla,9,CL,1603459310,51,-22.09,-70.2,67.32,67.32,67.32,7.47
Daru,28,PG,1603459311,83,-9.08,143.21,79.18,79.18,79.18,11.61
Mount Gambier,90,AU,1603459311,87,-37.83,140.77,53.6,53.6,53.6,18.34
Ipixuna,40,BR,1603459312,74,-1.76,-48.8,82.4,82.4,82.4,9.17
Mossamedes,40,AO,1603459312,58,-15.2,12.15,84.2,84.2,84.2,18.34
Alofi,100,NU,1603459313,94,-19.06,-169.92,75.2,75.2,75.2,5.82
Lambaré,0,PY,1603459314,38,-25.35,-57.61,91.4,91.4,91.4,12.75
Coyhaique,90,CL,1603459314,70,-45.58,-72.07,46.4,46.4,46.4,5.82
Coquimbo,90,CL,1603459315,100,-29.95,-71.34,51.8,51.8,51.8,6.93
Ihosy,0,MG,1603459320,32,-22.4,46.12,84.09,84.09,84.09,13.6
Mbanza-Ngungu,38,CD,1603459321,50,-5.25,14.87,89.56,89.56,89.56,2.64
Henties Bay,26,NA,1603459321,80,-22.12,14.28,64.99,64.99,64.99,11.34
Mildura,90,AU,1603459324,93,-34.2,142.15,62.78,62.6,63.0,5.82
Bambous Virieux,20,MU,1603459326,57,-20.34,57.76,78.42,78.01,78.8,10.29
Kavieng,12,PG,1603459327,67,-2.57,150.8,82.51,82.51,82.51,8.55
Knysna,20,ZA,1603459328,73,-34.04,23.05,73.4,73.4,73.4,13.87
Ampanihy,100,MG,1603459329,12,-24.7,44.75,99.79,99.79,99.79,8.99
East London,0,ZA,1603459330,78,-33.02,27.91,75.2,75.2,75.2,6.93
Simpang,99,ID,1603459334,84,-1.27,104.08,76.82,76.82,76.82,2.1
Ambilobe,98,MG,1603459334,38,-13.2,49.05,88.7,88.7,88.7,2.98
Lebu,100,CL,1603459336,66,-37.62,-73.65,51.62,51.62,51.62,2.84
Hokitika,78,NZ,1603459336,89,-42.72,170.97,48.15,48.15,48.15,3.87
Airai,67,TL,1603459337,100,-8.93,125.41,64.53,64.53,64.53,1.23
Natal,75,BR,1603459337,83,-5.79,-35.21,82.4,82.4,82.4,13.87
Kualakapuas,90,ID,1603459088,88,-3.01,114.39,78.8,78.8,78.8,6.93
Codrington,100,AU,1603459338,90,-38.27,141.97,53.69,53.69,53.69,14.92
Kruisfontein,0,ZA,1603459339,68,-34.0,24.73,75.99,75.99,75.99,10.0
Três Lagoas,0,BR,1603459093,48,-20.75,-51.68,86.5,86.5,86.5,10.78
Mitsamiouli,88,KM,1603459340,72,-11.38,43.28,80.96,80.96,80.96,5.17
Rivadavia,0,AR,1603459089,49,-33.19,-68.46,68.0,68.0,68.0,5.82
Katobu,19,ID,1603459341,83,-4.94,122.53,78.53,78.53,78.53,4.61
Barranca,98,PE,1603459341,81,-10.75,-77.77,63.59,63.59,63.59,6.33
Ahipara,25,NZ,1603459342,93,-35.17,173.17,58.55,58.55,58.55,5.35
Sola,96,VU,1603459342,86,-13.88,167.55,78.08,78.08,78.08,22.32
Salinópolis,96,BR,1603459342,66,-0.61,-47.36,84.09,84.09,84.09,12.33
Pisco,75,PE,1603459343,82,-13.7,-76.22,64.65,64.4,64.99,3.36
Kaitangata,100,NZ,1603459343,89,-46.28,169.85,51.12,51.12,51.12,2.75
Maceió,75,BR,1603459067,69,-9.67,-35.74,82.4,82.4,82.4,11.41
Port Elizabeth,20,ZA,1603459347,73,-33.92,25.57,73.4,73.4,73.4,20.8
Samarai,86,PG,1603459349,86,-10.62,150.67,80.44,80.44,80.44,8.16
Lakes Entrance,100,AU,1603459349,96,-37.88,147.98,61.0,60.01,62.01,1.14
Constitución,0,CL,1603459349,63,-35.33,-72.42,58.64,58.64,58.64,7.38
Geraldton,0,AU,1603459353,64,-28.77,114.6,68.0,68.0,68.0,17.22
Saldanha,24,ZA,1603459354,68,-33.01,17.94,68.0,68.0,68.0,6.93
Santa Isabel Rio Negro,99,BR,1603459355,84,-0.41,-65.02,78.87,78.87,78.87,3.29
Cabedelo,75,BR,1603459356,88,-6.98,-34.83,80.6,80.6,80.6,12.75
Villamontes,20,BO,1603459360,83,-21.25,-63.5,82.4,82.4,82.4,3.83
Kefamenanu,16,ID,1603459360,87,-9.45,124.48,75.72,75.72,75.72,2.26
Nelson,65,NZ,1603459361,80,-41.28,173.28,51.01,51.01,51.01,1.99
Nabire,89,ID,1603459362,82,-3.37,135.48,77.45,77.45,77.45,3.4
Tual,79,ID,1603459362,81,-5.67,132.75,82.69,82.69,82.69,10.45
Vao,4,NC,1603459362,87,-22.67,167.48,73.76,73.76,73.76,20.47
Iquitos,75,PE,1603459364,83,-3.75,-73.25,78.8,78.8,78.8,1.12
Mananjary,12,MG,1603459364,67,-21.22,48.33,77.76,77.76,77.76,6.62
Rocha,96,UY,1603459365,89,-34.48,-54.33,65.98,65.98,65.98,6.96
Kasane,0,BW,1603459366,14,-17.82,25.15,96.8,96.8,96.8,16.11
Maamba,81,ZM,1603459367,16,-17.37,27.15,94.91,94.91,94.91,8.14
Isangel,100,VU,1603459367,78,-19.55,169.27,74.16,74.16,74.16,17.78
Diego de Almagro,0,CL,1603459369,27,-26.37,-70.05,70.5,70.5,70.5,4.03
Flinders,100,AU,1603459370,87,-34.58,150.86,66.99,66.99,66.99,1.01
Saint-Joseph,90,RE,1603459371,69,-21.37,55.62,75.47,73.99,77.0,16.11
Comodoro Rivadavia,0,AR,1603459371,52,-45.87,-67.5,64.4,64.4,64.4,2.24
General Roca,40,AR,1603459373,68,-39.03,-67.58,66.2,66.2,66.2,6.93
Kaeo,60,NZ,1603459377,95,-35.1,173.78,57.99,57.99,57.99,3.06
Esperance,90,AU,1603459378,87,-33.87,121.9,55.4,55.4,55.4,10.29
Benguela,40,AO,1603459378,74,-12.58,13.41,82.4,82.4,82.4,5.82
Ondangwa,0,NA,1603459380,13,-17.92,15.95,102.2,102.2,102.2,3.36
São Félix do Xingu,100,BR,1603459382,51,-6.64,-51.99,89.91,89.91,89.91,3.98
Antofagasta,90,CL,1603459207,93,-23.65,-70.4,55.4,55.4,55.4,5.82
Gladstone,100,AU,1603459383,78,-23.85,151.25,73.4,73.4,73.4,6.93
Remanso,0,BR,1603459383,54,-9.62,-42.08,83.1,83.1,83.1,16.46
Port Augusta,90,AU,1603459384,82,-32.5,137.77,56.77,55.99,59.0,28.86
Hualmay,93,PE,1603459385,77,-11.1,-77.61,64.78,64.78,64.78,7.65
Port Moresby,96,PG,1603459130,91,-9.44,147.18,77.14,77.14,77.14,8.84
Kokopo,12,PG,1603459388,73,-4.35,152.26,78.76,78.76,78.76,3.91
Dalby,100,AU,1603459390,59,-27.18,151.27,72.0,72.0,72.0,5.01
Moranbah,100,AU,1603459394,75,-22.0,148.05,72.16,72.16,72.16,4.65
Waingapu,99,ID,1603459395,74,-9.66,120.26,82.04,82.04,82.04,3.76
Touros,75,BR,1603459399,83,-5.2,-35.46,82.4,82.4,82.4,13.87
Broken Hill,40,AU,1603459401,88,-31.95,141.43,64.4,64.4,64.4,11.41
Manokwari,39,ID,1603459402,76,-0.87,134.08,82.2,82.2,82.2,0.96
Maningrida,60,AU,1603459402,68,-12.07,134.27,82.72,82.72,82.72,2.35
Ancud,75,CL,1603459404,81,-41.87,-73.82,47.21,43.0,52.0,11.41
San Juan,0,AR,1603459405,42,-31.54,-68.54,74.8,74.8,74.8,5.79
